beer_name,beer_type,beer_abv,beer_ibu,rating_score,global_rating_score,photo_url
Leeds Pale,Pale Ale - English,3.8,0,2.5,3.36,https://untappd.s3.amazonaws.com/photo/2016_01_16/4378558a9f1bb336522333d6587fe855_raw.jpg
Corgoň 10%,Pilsner - Czech,3.9,0,3.0,2.64,https://untappd.s3.amazonaws.com/photo/2016_01_16/0434bbc7d50a2f556a1aca31a0f32ed3_raw.jpg
Bratislavský ležiak 12°,Pilsner - Czech,4.7,40,2.75,3.45,https://untappd.s3.amazonaws.com/photo/2016_01_16/13742688cd00780bbbbfebb65a09b355_raw.jpg
Bratislavský Bubák 12°,Lager - Dark,4.0,38,2.75,3.57,https://untappd.s3.amazonaws.com/photo/2016_01_16/17608d7331ae2c22def5c51e96388d2c_raw.jpg
Bohemian Lager (Světlý ležák 12),Pilsner - Czech,4.9,34,3.5,3.24,https://untappd.s3.amazonaws.com/photo/2016_01_16/e360b8f87ad516fdec4e2d5413d02283_raw.jpg
Corgoň 4sladový,Lager - Pale,4.6,0,3.75,2.96,https://untappd.s3.amazonaws.com/photo/2016_01_16/4617ca8468f5b4813ccd82179d937549_raw.jpg
Klubovňácka 11,Pilsner - Other,5.0,0,3.5,3.28,https://untappd.s3.amazonaws.com/photo/2016_01_16/7f556579a66db7d7096875e0e47abb3a_raw.jpg
Zlatý Bažant Pšeničné pivo,Hefeweizen,4.4,15,3.0,3.22,0
Gösser Spezial,Märzen,5.7,0,3.75,3.1,https://untappd.s3.amazonaws.com/photo/2016_01_16/5ab100d810aa54aa202b14d7a0dd02b6_raw.jpg
Nohoplimit,IPA - Imperial / Double,8.5,100,3.5,3.77,https://untappd.s3.amazonaws.com/photo/2016_01_16/9f3f351e3d82c25341dcb489dab7a8d7_raw.jpg
Super Bock,Lager - Euro Pale,5.2,0,2.75,2.98,https://untappd.s3.amazonaws.com/photo/2016_01_16/48ae3bf917ed3c87e6840ffcffeaaebc_raw.jpg
Thurbo Double IPA,IPA - Imperial / Double,8.5,74,4.25,3.73,https://untappd.s3.amazonaws.com/photo/2016_01_17/c9c1262db451fd9ba9d9a4f9829c36cf_raw.jpg
Reign In Raspberry,Sour - Other,4.5,0,3.75,3.14,https://untappd.s3.amazonaws.com/photo/2016_01_27/8e89ecb62c780ac8938ecf847bb7dccf_raw.jpg
IPA 5,IPA - American,6.0,60,4.0,3.59,https://untappd.s3.amazonaws.com/photo/2016_01_27/3df993b64e1c479e5941fcd352be2651_raw.jpg
